EmployeeID,Name,Department,Salary,Age,Work_Experience
E127,Employee_127,Sales,35842,49,30
E128,Employee_128,IT,70836,34,13
E129,Employee_129,Finance,37589,52,20
E130,Employee_130,Marketing,63580,37,38
E131,Employee_131,IT,95029,30,17
E132,Employee_132,Finance,99132,44,17
E133,Employee_133,Sales,81729,52,37
E134,Employee_134,Sales,90371,29,4
E135,Employee_135,IT,84980,60,14
E136,Employee_136,Sales,35213,26,11
E137,Employee_137,Sales,99271,40,13
E138,Employee_138,HR,72262,29,3
E139,Employee_139,IT,90476,24,9
E140,Employee_140,Marketing,30428,24,4
E141,Employee_141,IT,76901,30,4
E142,Employee_142,HR,47345,54,39
E143,Employee_143,Marketing,56823,23,27
E144,Employee_144,Marketing,59595,36,30
E145,Employee_145,Marketing,93655,22,32
E146,Employee_146,Marketing,42455,49,2
E147,Employee_147,Finance,70212,52,12
E148,Employee_148,IT,83919,44,20
E149,Employee_149,IT,94891,26,27
E150,Employee_150,HR,99661,24,16
E151,Employee_151,Sales,99294,54,25
E152,Employee_152,HR,33306,24,10
E153,Employee_153,IT,33229,56,30
E154,Employee_154,HR,62020,56,6
E155,Employee_155,Sales,83846,23,39
E156,Employee_156,HR,97205,37,23
E157,Employee_157,Sales,90706,36,33
E158,Employee_158,IT,48374,51,22
E159,Employee_159,Marketing,82069,60,30
E160,Employee_160,Marketing,66921,36,32
E161,Employee_161,Finance,66554,29,28
E162,Employee_162,IT,67313,60,17
E163,Employee_163,Finance,75260,51,3
E164,Employee_164,Sales,35324,52,15
E165,Employee_165,Finance,79225,25,18
E166,Employee_166,IT,51348,28,3
E167,Employee_167,Sales,66154,22,30
E168,Employee_168,Marketing,79702,32,31
E169,Employee_169,Finance,88595,48,38
E170,Employee_170,Sales,91821,28,7
E171,Employee_171,Marketing,57040,26,39
E172,Employee_172,Sales,82453,22,19
E173,Employee_173,Sales,85885,44,22
E174,Employee_174,Marketing,43911,57,9
E175,Employee_175,HR,71271,35,25
E176,Employee_176,IT,31574,38,21
E177,Employee_177,Sales,84577,35,32
E178,Employee_178,HR,76212,52,25
E179,Employee_179,Sales,77017,47,6
E180,Employee_180,Marketing,30257,24,17
E181,Employee_181,IT,93131,38,23
E182,Employee_182,IT,43736,51,31
E183,Employee_183,Marketing,41515,29,29
E184,Employee_184,HR,78322,28,3
E185,Employee_185,IT,41367,41,39
E186,Employee_186,IT,52546,27,22
E187,Employee_187,Marketing,69553,41,38
E188,Employee_188,Marketing,53363,31,35
E189,Employee_189,HR,92682,31,7
E190,Employee_190,Finance,50625,32,35
E191,Employee_191,IT,31231,48,2
E192,Employee_192,IT,88189,55,26
E193,Employee_193,Finance,82945,39,35
E194,Employee_194,Marketing,56665,22,3
E195,Employee_195,Finance,57262,42,20
E196,Employee_196,HR,80183,50,15
E197,Employee_197,Marketing,79070,36,31
E198,Employee_198,Sales,46213,44,36
E199,Employee_199,IT,57245,24,17
E200,Employee_200,Marketing,58251,30,30
E201,Employee_201,IT,45375,39,14
E202,Employee_202,Sales,32950,22,13
E203,Employee_203,Finance,99619,59,8
E204,Employee_204,Marketing,60844,26,9
E205,Employee_205,Marketing,72351,57,24
E206,Employee_206,Finance,86500,35,30
E207,Employee_207,Sales,73316,29,15
E208,Employee_208,Sales,53733,52,5
E209,Employee_209,IT,45983,43,13
E210,Employee_210,HR,37720,40,8
E211,Employee_211,HR,70345,39,18
E212,Employee_212,HR,69648,24,27
E213,Employee_213,Marketing,96614,33,4
E214,Employee_214,Finance,68959,58,7
E215,Employee_215,Sales,66213,53,37
E216,Employee_216,HR,37757,35,33
E217,Employee_217,HR,87415,29,13
E218,Employee_218,Sales,94084,46,14
E219,Employee_219,Finance,70101,44,2
E220,Employee_220,Sales,56168,49,1
E221,Employee_221,Marketing,83206,24,27
E222,Employee_222,Finance,97117,39,30
E223,Employee_223,Marketing,87660,31,5
E224,Employee_224,Marketing,63008,48,32
E225,Employee_225,Sales,55495,34,2
E226,Employee_226,Finance,72388,60,22
E227,Employee_227,HR,48552,39,20
E228,Employee_228,Marketing,88446,26,7
E229,Employee_229,IT,85414,31,38
E230,Employee_230,Marketing,76493,38,28
E231,Employee_231,Marketing,95368,29,40
E232,Employee_232,Finance,30148,59,31
E233,Employee_233,HR,97976,57,40
E234,Employee_234,HR,53028,22,13
E235,Employee_235,Finance,45549,48,38
E236,Employee_236,Marketing,84018,29,16
E237,Employee_237,HR,50688,27,2
E238,Employee_238,Finance,52484,32,39
E239,Employee_239,IT,59269,24,34
E240,Employee_240,HR,48784,52,11
E241,Employee_241,Marketing,36940,30,37
E242,Employee_242,IT,84622,48,11
E243,Employee_243,Finance,46643,45,6
E244,Employee_244,IT,61000,26,38
E245,Employee_245,HR,72722,45,39
E246,Employee_246,IT,46858,47,39
E247,Employee_247,IT,73156,53,26
E248,Employee_248,HR,62055,59,27
E249,Employee_249,Marketing,31915,48,37
E250,Employee_250,Marketing,54191,37,17
E251,Employee_251,Sales,65297,53,5
E252,Employee_252,Sales,89644,40,22
E253,Employee_253,Sales,38583,60,5
E254,Employee_254,Finance,65876,30,20
E255,Employee_255,Finance,63468,43,16
E256,Employee_256,Marketing,54663,42,12
E257,Employee_257,Sales,96127,31,4
E258,Employee_258,IT,76828,59,8
E259,Employee_259,IT,60895,56,3
E260,Employee_260,HR,99821,59,2
E261,Employee_261,IT,98798,38,35
E262,Employee_262,IT,51937,40,32
E263,Employee_263,Sales,94309,31,39
E264,Employee_264,HR,45156,43,8
E265,Employee_265,Marketing,79634,38,16
E266,Employee_266,Sales,38014,46,36
E267,Employee_267,IT,40353,44,25
E268,Employee_268,Finance,73435,36,19
E269,Employee_269,IT,75403,49,6
E270,Employee_270,IT,57781,31,37
E271,Employee_271,Finance,88729,57,3
E272,Employee_272,Sales,85740,55,30
E273,Employee_273,HR,39544,40,25
E274,Employee_274,HR,82962,41,18
E275,Employee_275,Sales,39279,55,13
E276,Employee_276,HR,83932,57,19
E277,Employee_277,Finance,99804,43,34
E278,Employee_278,Marketing,89276,51,27
E279,Employee_279,IT,99421,55,2
E280,Employee_280,HR,46113,49,40
E281,Employee_281,Finance,72469,27,12
E282,Employee_282,Sales,37232,22,28
E283,Employee_283,Sales,94768,38,5
E284,Employee_284,HR,33043,32,34
E285,Employee_285,HR,42241,51,30
E286,Employee_286,Finance,48715,48,3
E287,Employee_287,IT,79032,54,6
E288,Employee_288,Finance,83243,37,30
E289,Employee_289,IT,95029,58,18
E290,Employee_290,HR,48886,28,34
E291,Employee_291,Finance,33294,56,30
E292,Employee_292,HR,95752,29,12
E293,Employee_293,Marketing,51002,34,40
E294,Employee_294,HR,74560,24,38
E295,Employee_295,HR,40512,58,16
E296,Employee_296,Sales,76944,25,40
E297,Employee_297,Marketing,56941,52,20
E298,Employee_298,IT,55274,54,7
E299,Employee_299,Sales,97113,42,25
E300,Employee_300,Marketing,92057,56,32
E301,Employee_301,Sales,32791,48,23
E302,Employee_302,IT,86700,23,23
E303,Employee_303,IT,74924,30,11
E304,Employee_304,Sales,90749,51,9
E305,Employee_305,Finance,96385,48,31
E306,Employee_306,IT,79809,56,28
E307,Employee_307,IT,99619,31,6
E308,Employee_308,Sales,70707,30,29
E309,Employee_309,Marketing,62226,47,12
E310,Employee_310,Finance,44311,46,20
E311,Employee_311,Marketing,36773,27,28
E312,Employee_312,Finance,41795,26,29
E313,Employee_313,Sales,39101,23,17
E314,Employee_314,IT,98315,23,24
E315,Employee_315,HR,70583,22,2
E316,Employee_316,IT,50525,50,29
E317,Employee_317,IT,35003,60,38
E318,Employee_318,Marketing,98859,26,1
E319,Employee_319,HR,95753,47,33
E320,Employee_320,HR,69386,46,11
E321,Employee_321,Finance,52057,54,5
E322,Employee_322,HR,81330,52,13
E323,Employee_323,IT,98785,28,24
E324,Employee_324,HR,85221,33,39
E325,Employee_325,Sales,95609,26,23
E326,Employee_326,IT,66387,58,4
E327,Employee_327,IT,39169,53,10
E328,Employee_328,IT,31948,31,7
E329,Employee_329,IT,62340,30,19
E330,Employee_330,HR,77745,42,14
E331,Employee_331,IT,84598,24,15
E332,Employee_332,HR,64437,29,1
E333,Employee_333,IT,92447,47,8
E334,Employee_334,Marketing,43496,42,12
E335,Employee_335,Sales,74499,54,28
E336,Employee_336,Finance,95150,53,17
E337,Employee_337,Marketing,39146,43,16
E338,Employee_338,Finance,60098,50,11
E339,Employee_339,Finance,63652,31,18
E340,Employee_340,Sales,94905,34,16
E341,Employee_341,HR,96714,32,2
E342,Employee_342,Sales,57913,28,32
E343,Employee_343,HR,93364,42,26
E344,Employee_344,IT,82667,60,19
E345,Employee_345,Sales,65245,25,18
E346,Employee_346,HR,86493,41,19
E347,Employee_347,IT,81941,28,32
E348,Employee_348,IT,64900,27,3
E349,Employee_349,Sales,47441,31,17
E350,Employee_350,Finance,90693,59,21
E351,Employee_351,Sales,94942,29,4
E352,Employee_352,IT,38445,39,4
E353,Employee_353,Marketing,65712,44,37
E354,Employee_354,HR,63652,58,11
E355,Employee_355,Sales,66121,23,8
E356,Employee_356,Marketing,58802,27,33
E357,Employee_357,HR,67002,60,35
E358,Employee_358,Finance,32638,24,5
E359,Employee_359,Finance,95781,51,23
E360,Employee_360,IT,68092,29,12
E361,Employee_361,IT,67267,34,9
E362,Employee_362,Sales,59375,28,39
E363,Employee_363,IT,95603,24,25
E364,Employee_364,HR,76150,50,28
E365,Employee_365,Finance,50229,36,33
E366,Employee_366,HR,71800,48,18
E367,Employee_367,Sales,84598,44,1
E368,Employee_368,HR,93574,49,24
E369,Employee_369,HR,39546,27,21
E370,Employee_370,HR,32455,51,12
E371,Employee_371,HR,32603,56,5
E372,Employee_372,HR,42561,29,6
E373,Employee_373,Finance,36570,23,38
E374,Employee_374,Sales,90036,53,2
E375,Employee_375,Sales,60091,34,30
E376,Employee_376,HR,55081,55,35
E377,Employee_377,IT,31053,55,29
E378,Employee_378,HR,31795,37,9
E379,Employee_379,IT,47303,41,5
E380,Employee_380,Marketing,79143,22,36
E381,Employee_381,Finance,81905,23,19
E382,Employee_382,Finance,69219,32,36
E383,Employee_383,Finance,37599,22,26
E384,Employee_384,Finance,36271,46,39
E385,Employee_385,Finance,35879,40,22
E386,Employee_386,Sales,39397,39,30
E387,Employee_387,IT,35005,38,6
E388,Employee_388,HR,61834,53,14
E389,Employee_389,IT,33165,42,5
E390,Employee_390,HR,61041,25,15
E391,Employee_391,IT,83944,48,15
E392,Employee_392,HR,42642,58,29
E393,Employee_393,Marketing,45354,42,3
E394,Employee_394,Finance,83348,23,29
E395,Employee_395,Sales,38725,38,28
E396,Employee_396,Marketing,32560,52,30
E397,Employee_397,Finance,32024,52,23
E398,Employee_398,Finance,95398,56,25
E399,Employee_399,IT,50551,41,10
E400,Employee_400,IT,51238,40,35
E401,Employee_401,Marketing,31646,57,8
E402,Employee_402,IT,54604,30,34
E403,Employee_403,HR,99702,59,17
E404,Employee_404,Sales,65868,27,11
E405,Employee_405,Marketing,69364,54,18
E406,Employee_406,Sales,78828,47,1
E407,Employee_407,IT,85177,49,17
E408,Employee_408,Finance,49338,44,1
E409,Employee_409,HR,41607,53,35
E410,Employee_410,HR,35743,28,2
E411,Employee_411,Marketing,35092,38,28
E412,Employee_412,Sales,70593,51,4
E413,Employee_413,HR,79074,45,5
E414,Employee_414,Marketing,36362,44,27
E415,Employee_415,Sales,91230,38,25
E416,Employee_416,Finance,71584,22,22
E417,Employee_417,Marketing,98793,46,4
E418,Employee_418,HR,75042,28,14
E419,Employee_419,IT,37735,58,11
E420,Employee_420,HR,80571,55,36
E421,Employee_421,Finance,87963,57,17
E422,Employee_422,Finance,74799,36,12
E423,Employee_423,Sales,44653,59,18
E424,Employee_424,Finance,59070,48,27
E425,Employee_425,HR,88766,40,5
E426,Employee_426,Finance,78832,44,25
E427,Employee_427,Marketing,33361,36,17
E428,Employee_428,Marketing,39398,59,3
E429,Employee_429,Finance,64113,59,26
E430,Employee_430,Sales,36811,28,31
E431,Employee_431,Sales,66142,56,30
E432,Employee_432,Sales,30701,56,1
E433,Employee_433,IT,99042,22,32
E434,Employee_434,HR,50635,23,23
E435,Employee_435,IT,30468,53,16
E436,Employee_436,Marketing,72479,41,2
E437,Employee_437,Sales,50297,53,30
E438,Employee_438,HR,35446,33,14
E439,Employee_439,HR,78738,52,39
E440,Employee_440,Finance,69724,32,19
E441,Employee_441,HR,31012,37,3
E442,Employee_442,HR,57894,50,12
E443,Employee_443,Marketing,44058,26,30
E444,Employee_444,IT,31229,25,31
E445,Employee_445,Marketing,86153,39,3
E446,Employee_446,HR,30298,34,10
E447,Employee_447,Marketing,88261,34,6
E448,Employee_448,Sales,59478,29,34
E449,Employee_449,Sales,35838,39,28
E450,Employee_450,IT,64162,58,11
E451,Employee_451,Marketing,57600,47,10
E452,Employee_452,Finance,92226,46,26
E453,Employee_453,Marketing,54105,32,19
E454,Employee_454,HR,44748,35,6
E455,Employee_455,IT,38960,39,6
E456,Employee_456,HR,70746,47,4
E457,Employee_457,Marketing,47527,60,40
E458,Employee_458,Sales,35301,23,10
E459,Employee_459,Marketing,87965,28,31
E460,Employee_460,HR,62038,46,35
E461,Employee_461,Finance,86933,57,2
E462,Employee_462,Marketing,94431,49,32
E463,Employee_463,IT,36490,29,22
E464,Employee_464,HR,75720,44,22
E465,Employee_465,IT,82430,23,37
E466,Employee_466,IT,35197,26,38
E467,Employee_467,Marketing,44821,46,22
E468,Employee_468,Finance,38974,30,31
E469,Employee_469,Sales,38183,51,7
E470,Employee_470,HR,95571,46,1
E471,Employee_471,IT,85400,29,29
E472,Employee_472,IT,93939,58,18
E473,Employee_473,HR,55361,54,18
E474,Employee_474,Sales,82550,50,14
E475,Employee_475,HR,92185,42,19
E476,Employee_476,IT,33921,37,18
E477,Employee_477,HR,54205,49,16
E478,Employee_478,HR,97818,53,36
E479,Employee_479,IT,91447,59,4
E480,Employee_480,HR,82597,32,5
E481,Employee_481,Marketing,93318,44,14
E482,Employee_482,IT,54859,37,4
E483,Employee_483,HR,99262,31,14
E484,Employee_484,IT,37200,44,36
E485,Employee_485,Marketing,83931,43,18
E486,Employee_486,Marketing,66390,27,11
E487,Employee_487,Marketing,47670,41,5
E488,Employee_488,HR,84441,27,27
E489,Employee_489,Sales,76744,60,1
E490,Employee_490,Finance,81012,30,32
E491,Employee_491,IT,85241,45,3
E492,Employee_492,HR,37495,29,20
E493,Employee_493,Marketing,91517,28,36
E494,Employee_494,IT,97640,49,3
E495,Employee_495,Marketing,51937,39,13
E496,Employee_496,Marketing,87541,50,30
E497,Employee_497,Marketing,45106,46,10
E498,Employee_498,Finance,81471,50,12
E499,Employee_499,Marketing,30156,57,25
E500,Employee_500,IT,88913,55,32
E501,Employee_501,IT,41303,24,6
E502,Employee_502,Finance,58946,43,29
E503,Employee_503,Marketing,94007,33,18
E504,Employee_504,HR,66440,58,13
E505,Employee_505,Marketing,96329,60,38
E506,Employee_506,Marketing,71271,42,10
E507,Employee_507,IT,71151,37,16
E508,Employee_508,Sales,82750,51,20
E509,Employee_509,IT,30491,33,32
E510,Employee_510,Marketing,88292,44,17
E511,Employee_511,HR,92865,30,29
E512,Employee_512,IT,86252,37,19
E513,Employee_513,IT,51430,40,5
E514,Employee_514,IT,39611,57,29
E515,Employee_515,HR,56245,39,26
E516,Employee_516,Sales,86910,32,29
E517,Employee_517,Finance,30243,44,31
E518,Employee_518,Sales,54814,34,13
E519,Employee_519,IT,88639,44,33
E520,Employee_520,HR,84085,35,37
E521,Employee_521,IT,33120,48,29
E522,Employee_522,Sales,98796,48,4
E523,Employee_523,Finance,55597,54,36
E524,Employee_524,Finance,98952,50,7
E525,Employee_525,Finance,78196,22,33
E526,Employee_526,HR,44883,59,24
E527,Employee_527,Finance,55210,53,18
E528,Employee_528,Finance,93880,38,31
E529,Employee_529,Marketing,93050,32,31
E530,Employee_530,HR,79368,34,4
E531,Employee_531,Finance,78385,49,1
E532,Employee_532,Finance,99425,52,32
E533,Employee_533,Marketing,81956,49,18
E534,Employee_534,HR,91747,30,5
E535,Employee_535,Marketing,77297,55,40
E536,Employee_536,Finance,55340,36,38
E537,Employee_537,Finance,54553,39,8
E538,Employee_538,IT,67503,34,6
E539,Employee_539,HR,80275,28,34
E540,Employee_540,Sales,42792,39,32
E541,Employee_541,Sales,35513,47,36
E542,Employee_542,Finance,47534,42,33
E543,Employee_543,HR,57144,28,28
E544,Employee_544,Finance,30462,32,27
E545,Employee_545,Sales,42675,51,31
E546,Employee_546,Finance,39700,58,25
E547,Employee_547,Finance,61193,33,28
E548,Employee_548,IT,35025,40,22
E549,Employee_549,Marketing,61664,37,7
E550,Employee_550,HR,99084,34,28
E551,Employee_551,HR,38756,54,28
E552,Employee_552,IT,31546,58,22
E553,Employee_553,Finance,78235,50,1
E554,Employee_554,Sales,89223,39,31
E555,Employee_555,HR,43319,47,37
E556,Employee_556,Finance,52118,34,12
E557,Employee_557,HR,70405,33,19
E558,Employee_558,IT,47042,30,7
E559,Employee_559,IT,62483,32,13
E560,Employee_560,HR,53600,34,10
E561,Employee_561,Finance,63282,40,5
E562,Employee_562,HR,36987,30,39
E563,Employee_563,Marketing,79140,57,33
E564,Employee_564,Marketing,47599,24,17
E565,Employee_565,Finance,65970,26,34
E566,Employee_566,Sales,89866,46,14
E567,Employee_567,Sales,54042,38,19
E568,Employee_568,Sales,97135,34,18
E569,Employee_569,Finance,65304,47,18
E570,Employee_570,HR,79265,39,17
E571,Employee_571,Finance,92213,39,32
E572,Employee_572,HR,87291,52,3
E573,Employee_573,Finance,75844,44,22
E574,Employee_574,Marketing,91587,54,39
E575,Employee_575,IT,55531,24,40
E576,Employee_576,IT,45115,37,39
E577,Employee_577,Sales,33589,29,36
E578,Employee_578,HR,57352,56,20
E579,Employee_579,Marketing,92698,57,39
E580,Employee_580,HR,36352,56,38
E581,Employee_581,Sales,64793,23,31
E582,Employee_582,Sales,67341,41,37
E583,Employee_583,Marketing,90522,29,15
E584,Employee_584,Finance,64398,40,13
E585,Employee_585,IT,89644,53,21
E586,Employee_586,HR,76434,40,5
E587,Employee_587,Sales,72648,40,18
E588,Employee_588,IT,52033,26,10
E589,Employee_589,Finance,98103,43,13
E590,Employee_590,Finance,78464,55,36
E591,Employee_591,IT,33044,35,19
E592,Employee_592,IT,52794,52,17
E593,Employee_593,Finance,37598,26,35
E594,Employee_594,Sales,52373,35,7
E595,Employee_595,Marketing,40546,46,18
E596,Employee_596,Finance,78882,60,8
E597,Employee_597,Finance,80313,56,19
E598,Employee_598,Sales,51142,47,32
E599,Employee_599,HR,54204,47,33
E600,Employee_600,Finance,31319,51,39
E601,Employee_601,IT,91284,39,7
E602,Employee_602,Marketing,61520,32,30
E603,Employee_603,Sales,88656,47,11
E604,Employee_604,Marketing,68973,36,40
E605,Employee_605,IT,84842,55,2
E606,Employee_606,HR,61669,51,40
E607,Employee_607,HR,95823,48,3
E608,Employee_608,IT,79587,58,24
E609,Employee_609,Sales,67891,43,33
E610,Employee_610,HR,52019,52,22
E611,Employee_611,Marketing,61532,55,24
E612,Employee_612,IT,92932,44,37
E613,Employee_613,Finance,40599,58,39
E614,Employee_614,Finance,58565,60,2
E615,Employee_615,Marketing,48498,60,4
E616,Employee_616,HR,77817,40,9
E617,Employee_617,HR,75288,45,36
E618,Employee_618,Marketing,75683,47,16
E619,Employee_619,Finance,67070,42,22
E620,Employee_620,Marketing,86709,53,36
E621,Employee_621,Sales,40850,24,5
E622,Employee_622,Finance,69858,22,18
E623,Employee_623,IT,59191,27,27
E624,Employee_624,Marketing,49664,47,34
E625,Employee_625,HR,50670,50,2
E626,Employee_626,IT,67255,45,30
E627,Employee_627,HR,64039,55,36
E628,Employee_628,IT,42375,46,28
E629,Employee_629,Marketing,35927,58,35
E630,Employee_630,IT,68419,32,31
E631,Employee_631,HR,85303,42,32
E632,Employee_632,HR,85664,49,14
E633,Employee_633,Marketing,95404,29,22
E634,Employee_634,HR,60518,31,3
E635,Employee_635,Marketing,48701,54,12
E636,Employee_636,Marketing,96915,45,10
E637,Employee_637,Finance,65895,25,27
E638,Employee_638,HR,86665,38,7
E639,Employee_639,Finance,32848,27,13
E640,Employee_640,Finance,96172,57,34
E641,Employee_641,Finance,53632,48,9
E642,Employee_642,IT,46619,48,35
E643,Employee_643,HR,85762,33,31
E644,Employee_644,Sales,49472,40,22
E645,Employee_645,Marketing,97123,59,5
E646,Employee_646,HR,81288,60,27
E647,Employee_647,Finance,79337,39,8
E648,Employee_648,HR,57096,48,12
E649,Employee_649,HR,38184,49,5
E650,Employee_650,Marketing,40835,41,19
E651,Employee_651,IT,63502,28,23
E652,Employee_652,Sales,94432,36,32
E653,Employee_653,Finance,64327,39,26
E654,Employee_654,HR,31495,42,34
E655,Employee_655,Marketing,46827,28,26
E656,Employee_656,Marketing,86998,37,15
E657,Employee_657,Marketing,92012,47,3
E658,Employee_658,IT,69336,47,22
E659,Employee_659,HR,39339,56,10
E660,Employee_660,Finance,32324,51,15
E661,Employee_661,IT,73144,58,2
E662,Employee_662,Marketing,69081,39,30
E663,Employee_663,HR,34755,24,36
E664,Employee_664,Sales,63806,55,24
E665,Employee_665,Finance,58821,58,10
E666,Employee_666,Marketing,53010,25,13
E667,Employee_667,Finance,47940,54,26
E668,Employee_668,Sales,83515,37,7
E669,Employee_669,Sales,31427,48,25
E670,Employee_670,IT,48063,37,26
E671,Employee_671,HR,98175,51,17
E672,Employee_672,IT,85969,51,1
E673,Employee_673,HR,83124,36,15
E674,Employee_674,Finance,83146,24,23
E675,Employee_675,Marketing,74919,44,11
E676,Employee_676,Finance,95191,33,18
E677,Employee_677,Finance,97608,56,32
E678,Employee_678,HR,52474,59,8
E679,Employee_679,Finance,44481,53,19
E680,Employee_680,Finance,51578,52,25
E681,Employee_681,Finance,66191,38,36
E682,Employee_682,IT,37598,29,25
E683,Employee_683,Marketing,68534,60,36
E684,Employee_684,Sales,92976,58,33
E685,Employee_685,Marketing,35933,30,40
E686,Employee_686,IT,85074,54,40
E687,Employee_687,Sales,63776,22,5
E688,Employee_688,Finance,78736,50,19
E689,Employee_689,Marketing,64918,24,11
E690,Employee_690,IT,57835,53,24
E691,Employee_691,Marketing,39401,39,8
E692,Employee_692,Marketing,98512,23,8
E693,Employee_693,Finance,88527,41,31
E694,Employee_694,Marketing,79822,47,18
E695,Employee_695,HR,83038,52,6
E696,Employee_696,HR,36983,59,15
E697,Employee_697,Sales,52951,33,22
E698,Employee_698,Finance,30842,45,32
E699,Employee_699,IT,76254,36,13
E700,Employee_700,IT,45457,33,1
E701,Employee_701,HR,37728,28,12
E702,Employee_702,IT,52872,48,4
E703,Employee_703,HR,66768,46,38
E704,Employee_704,Marketing,96805,56,26
E705,Employee_705,HR,92552,30,26
